1,CIE1931 colorspace tristimulus values X,107.88
2,CIE1931 colorspace tristimulus values Y,100.00
3,CIE1931 colorspace tristimulus values Z,38.09
4,CIE1931 colorspace chromaticity coordinates x,0.4386
5,CIE1931 colorspace chromaticity coordinates y,0.4066
6,CIE1960 colorspace chromaticity coordinates u,0.2506
7,CIE1960 colorspace chromaticity coordinates v,0.3484
8,CIE1976 colorspace chromaticity coordinates u',0.2506
9,CIE1976 colorspace chromaticity coordinates v',0.5226
10,Color temperature CCT(K),2997
11,Red ratio(%),25.17
12,Green ratio(%),73.27
13,Blue ratio(%),1.56
14,Color shift Duv,0.0010
15,Color render index Ra,85.9
16,Color render index R1,87.0
17,Color render index R2,88.0
18,Color render index R3,86.2
19,Color render index R4,87.1
20,Color render index R5,84.4
21,Color render index R6,83.1
22,Color render index R7,91.1
23,Color render index R8,80.0
24,Color render index R9,47.9
25,Color render index R10,68.9
26,Color render index R11,85.1
27,Color render index R12,59.5
28,Color render index R13,86.2
29,Color render index R14,90.8
30,Color render index R15,84.5
31,Peak wavelength Lp(nm),632
32,Half-peak width HW(nm),10
33,Dominant wavelength Ld(nm),583
34,Color purity Purity(%),54.8
35,Light-dark vision ratio S/P,4.860
36,Illuminance Lux(lx),2328.3
37,Irradiance Ee(W/m²),6.8640
38,Illuminance E(fc),216.31
39,Color quality scale CQS,81.52
40,Gamut area index GAI_EES,56.59
41,Gamut area index GAI_BB_8,99.65
42,Gamut area index GAI_BB_15,105.30
43,Equivalen melanopic lux EML,214.93
44,Melanopic equivalent daylight illuminance M_EDI,194.79
45,Blue light hazard weighted irradiance Eb(W/m²),0.7040/RG0
46,Red irradiance Red_Ee(W/m²),0.1352
47,Near infrared irradiance A Nir_EeA(W/m²),0.0000
48,Near infrared irradiance B Nir_EeB(W/m²),0.0000
49,Photosynthetically active radiation PAR(W/m²),6.7288
50,Chlorophyll A weighted irradiance Eca(W/m²),0.5292
51,Chlorophyll B weighted irradiance Ecb(W/m²),0.2572
52,Blue purple irradiance Eb(W/m²),0.8384
53,Yellow green irradiance Ey(W/m²),3.0452
54,Red orange irradiance Er(W/m²),2.8933
55,Red blue irradiance ratio Erb_Ratio(%),3.45
56,Photosynthetic photon flux density PPFD(umol/(m^2·s)),32.4433
57,Blue purple photosynthetic photon flux density PPFDb(umol/(m^2·s)),3.2016
58,Yellow green photosynthetic photon flux density PPFDy(umol/(m^2·s)),14.1675
59,Red orange photosynthetic photon flux density PPFDr(umol/(m^2·s)),15.3064
60,Far red photosynthetic photon flux density PPFDfr(umol/(m^2·s)),0.8437
61,Red orange photosynthetic photon flux density ratio PPFDr_ratio(%),47.18
62,Yellow green photosynthetic photon flux density ratio PPFDy_ratio(%),43.67
63,Blue purple photosynthetic photon flux density ratio PPFDb_ratio(%),9.87
64,Yield photon flux density YPFD (umol/(m^2·s)),33.2425
65,Color tolerance SDCM,2.48/3000
Exposure Time,49.6ms
wavelength
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0.00006
415,0.00018
416,0.00031
417,0.00042
418,0.00056
419,0.00074
420,0.00096
421,0.00119
422,0.00143
423,0.00171
424,0.00201
425,0.00235
426,0.00272
427,0.00315
428,0.00363
429,0.00414
430,0.00467
431,0.00525
432,0.00591
433,0.00664
434,0.00742
435,0.00823
436,0.00913
437,0.01015
438,0.01131
439,0.01258
440,0.01395
441,0.01537
442,0.01696
443,0.01869
444,0.02053
445,0.0224
446,0.02416
447,0.02577
448,0.02716
449,0.02825
450,0.02886
451,0.02888
452,0.02822
453,0.02687
454,0.02496
455,0.0227
456,0.02035
457,0.01813
458,0.01619
459,0.0146
460,0.01334
461,0.01235
462,0.01159
463,0.011
464,0.0105
465,0.01001
466,0.00951
467,0.00897
468,0.00841
469,0.00785
470,0.00729
471,0.00675
472,0.00625
473,0.00581
474,0.00545
475,0.00516
476,0.00493
477,0.00475
478,0.00463
479,0.00455
480,0.00452
481,0.00453
482,0.00456
483,0.00461
484,0.00465
485,0.00471
486,0.0048
487,0.00492
488,0.00506
489,0.00523
490,0.00543
491,0.00568
492,0.00599
493,0.00635
494,0.00675
495,0.0072
496,0.0077
497,0.00826
498,0.00885
499,0.00949
500,0.01015
501,0.01085
502,0.01156
503,0.01226
504,0.01296
505,0.01367
506,0.0144
507,0.01514
508,0.01587
509,0.01656
510,0.01724
511,0.01793
512,0.01863
513,0.01932
514,0.01999
515,0.02061
516,0.02121
517,0.02181
518,0.0224
519,0.02297
520,0.0235
521,0.02397
522,0.02438
523,0.02476
524,0.02514
525,0.02551
526,0.02587
527,0.02622
528,0.02657
529,0.02691
530,0.02724
531,0.02752
532,0.02776
533,0.02799
534,0.02822
535,0.02848
536,0.02875
537,0.029
538,0.02922
539,0.02944
540,0.02966
541,0.02988
542,0.03011
543,0.03036
544,0.03063
545,0.0309
546,0.03117
547,0.03143
548,0.03169
549,0.03197
550,0.03226
551,0.03255
552,0.03284
553,0.03316
554,0.0335
555,0.03385
556,0.0342
557,0.03449
558,0.03474
559,0.03496
560,0.03516
561,0.03537
562,0.03561
563,0.03584
564,0.03608
565,0.03631
566,0.03653
567,0.03672
568,0.03687
569,0.03699
570,0.0371
571,0.03721
572,0.03732
573,0.0374
574,0.03743
575,0.03744
576,0.03743
577,0.03744
578,0.03747
579,0.03753
580,0.03758
