1,CIE1931 colorspace tristimulus values X,114.24
2,CIE1931 colorspace tristimulus values Y,100.00
3,CIE1931 colorspace tristimulus values Z,38.11
4,CIE1931 colorspace chromaticity coordinates x,0.4527
5,CIE1931 colorspace chromaticity coordinates y,0.3963
6,CIE1960 colorspace chromaticity coordinates u,0.2644
7,CIE1960 colorspace chromaticity coordinates v,0.3471
8,CIE1976 colorspace chromaticity coordinates u',0.2644
9,CIE1976 colorspace chromaticity coordinates v',0.5207
10,Color temperature CCT(K),2682
11,Red ratio(%),28.80
12,Green ratio(%),69.22
13,Blue ratio(%),1.98
14,Color shift Duv,-0.0047
15,Color render index Ra,93.5
16,Color render index R1,96.0
17,Color render index R2,96.7
18,Color render index R3,94.2
19,Color render index R4,93.1
20,Color render index R5,94.6
21,Color render index R6,95.0
22,Color render index R7,92.1
23,Color render index R8,86.6
24,Color render index R9,71.0
25,Color render index R10,89.4
26,Color render index R11,92.8
27,Color render index R12,81.1
28,Color render index R13,96.2
29,Color render index R14,95.2
30,Color render index R15,94.1
31,Peak wavelength Lp(nm),632
32,Half-peak width HW(nm),32
33,Dominant wavelength Ld(nm),586
34,Color purity Purity(%),54.8
35,Light-dark vision ratio S/P,4.866
36,Illuminance Lux(lx),2009.1
37,Irradiance Ee(W/m²),6.7407
38,Illuminance E(fc),186.65
39,Color quality scale CQS,91.45
40,Gamut area index GAI_EES,58.48
41,Gamut area index GAI_BB_8,122.30
42,Gamut area index GAI_BB_15,126.43
43,Equivalen melanopic lux EML,192.10
44,Melanopic equivalent daylight illuminance M_EDI,174.10
45,Blue light hazard weighted irradiance Eb(W/m²),0.5924/RG0
46,Red irradiance Red_Ee(W/m²),0.2863
47,Near infrared irradiance A Nir_EeA(W/m²),0.0010
48,Near infrared irradiance B Nir_EeB(W/m²),0.0000
49,Photosynthetically active radiation PAR(W/m²),6.4535
50,Chlorophyll A weighted irradiance Eca(W/m²),0.5400
51,Chlorophyll B weighted irradiance Ecb(W/m²),0.2566
52,Blue purple irradiance Eb(W/m²),0.7639
53,Yellow green irradiance Ey(W/m²),2.5119
54,Red orange irradiance Er(W/m²),3.2236
55,Red blue irradiance ratio Erb_Ratio(%),4.22
56,Photosynthetic photon flux density PPFD(umol/(m^2·s)),31.6098
57,Blue purple photosynthetic photon flux density PPFDb(umol/(m^2·s)),2.9481
58,Yellow green photosynthetic photon flux density PPFDy(umol/(m^2·s)),11.7002
59,Red orange photosynthetic photon flux density PPFDr(umol/(m^2·s)),17.1826
60,Far red photosynthetic photon flux density PPFDfr(umol/(m^2·s)),1.7866
61,Red orange photosynthetic photon flux density ratio PPFDr_ratio(%),54.36
62,Yellow green photosynthetic photon flux density ratio PPFDy_ratio(%),37.01
63,Blue purple photosynthetic photon flux density ratio PPFDb_ratio(%),9.33
64,Yield photon flux density YPFD (umol/(m^2·s)),33.2495
65,Color tolerance SDCM,6.82/2700
Exposure Time,49.6ms
wavelength
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0.00012
420,0.00024
421,0.00035
422,0.00044
423,0.00055
424,0.00071
425,0.00091
426,0.00114
427,0.00138
428,0.00163
429,0.00188
430,0.00216
431,0.00249
432,0.00288
433,0.00331
434,0.00376
435,0.0042
436,0.00471
437,0.00531
438,0.00603
439,0.00686
440,0.00778
441,0.00876
442,0.0099
443,0.01123
444,0.01276
445,0.01448
446,0.01632
447,0.0182
448,0.02004
449,0.02176
450,0.02323
451,0.02429
452,0.02482
453,0.02473
454,0.02403
455,0.02281
456,0.02124
457,0.0195
458,0.01777
459,0.01622
460,0.01493
461,0.01393
462,0.01318
463,0.01262
464,0.01217
465,0.01176
466,0.01137
467,0.01096
468,0.01051
469,0.01005
470,0.00955
471,0.00901
472,0.00847
473,0.00794
474,0.00747
475,0.00706
476,0.00672
477,0.00644
478,0.00624
479,0.00614
480,0.00612
481,0.00615
482,0.00621
483,0.00627
484,0.00633
485,0.00641
486,0.0065
487,0.00659
488,0.0067
489,0.00683
490,0.00698
491,0.00716
492,0.00736
493,0.0076
494,0.00789
495,0.00821
496,0.00858
497,0.00898
498,0.0094
499,0.00985
500,0.0103
501,0.01076
502,0.01122
503,0.01167
504,0.01212
505,0.01257
506,0.01304
507,0.0135
508,0.01394
509,0.01435
510,0.01476
511,0.01518
512,0.01564
513,0.0161
514,0.01654
515,0.01694
516,0.0173
517,0.01764
518,0.01797
519,0.0183
520,0.01861
521,0.01892
522,0.0192
523,0.01947
524,0.01974
525,0.02002
526,0.02029
527,0.02054
528,0.02076
529,0.02098
530,0.02121
531,0.02143
532,0.02164
533,0.02184
534,0.02204
535,0.02225
536,0.02246
537,0.02264
538,0.02278
539,0.02292
540,0.02308
541,0.02327
542,0.02349
543,0.02373
544,0.02398
545,0.02424
546,0.0245
547,0.02476
548,0.02499
549,0.0252
550,0.0254
551,0.02563
552,0.02589
553,0.02619
554,0.0265
555,0.0268
556,0.02706
557,0.02729
558,0.02752
559,0.02776
560,0.02799
561,0.02821
562,0.02841
563,0.02862
564,0.02885
565,0.02908
566,0.02931
567,0.0295
568,0.02964
569,0.02976
570,0.02988
571,0.03001
572,0.03014
573,0.03025
574,0.03037
575,0.03051
576,0.03069
577,0.03091
578,0.03111
579,0.03128
580,0.03142
581,0.03155
582,0.03171
