1,CIE1931 colorspace tristimulus values X,103.83
2,CIE1931 colorspace tristimulus values Y,100.00
3,CIE1931 colorspace tristimulus values Z,55.50
4,CIE1931 colorspace chromaticity coordinates x,0.4004
5,CIE1931 colorspace chromaticity coordinates y,0.3856
6,CIE1960 colorspace chromaticity coordinates u,0.2346
7,CIE1960 colorspace chromaticity coordinates v,0.3389
8,CIE1976 colorspace chromaticity coordinates u',0.2346
9,CIE1976 colorspace chromaticity coordinates v',0.5084
10,Color temperature CCT(K),3580
11,Red ratio(%),23.00
12,Green ratio(%),74.73
13,Blue ratio(%),2.27
14,Color shift Duv,-0.0010
15,Color render index Ra,89.8
16,Color render index R1,94.7
17,Color render index R2,90.4
18,Color render index R3,83.2
19,Color render index R4,89.6
20,Color render index R5,92.0
21,Color render index R6,86.2
22,Color render index R7,90.1
23,Color render index R8,92.1
24,Color render index R9,80.5
25,Color render index R10,74.5
26,Color render index R11,90.1
27,Color render index R12,68.2
28,Color render index R13,92.7
29,Color render index R14,89.3
30,Color render index R15,94.3
31,Peak wavelength Lp(nm),632
32,Half-peak width HW(nm),10
33,Dominant wavelength Ld(nm),581
34,Color purity Purity(%),36.1
35,Light-dark vision ratio S/P,4.013
36,Illuminance Lux(lx),2276.9
37,Irradiance Ee(W/m²),7.1229
38,Illuminance E(fc),211.53
39,Color quality scale CQS,87.50
40,Gamut area index GAI_EES,75.89
41,Gamut area index GAI_BB_8,105.90
42,Gamut area index GAI_BB_15,108.40
43,Equivalen melanopic lux EML,270.44
44,Melanopic equivalent daylight illuminance M_EDI,245.10
45,Blue light hazard weighted irradiance Eb(W/m²),1.0187/RG2
46,Red irradiance Red_Ee(W/m²),0.1622
47,Near infrared irradiance A Nir_EeA(W/m²),0.0000
48,Near infrared irradiance B Nir_EeB(W/m²),0.0000
49,Photosynthetically active radiation PAR(W/m²),6.9607
50,Chlorophyll A weighted irradiance Eca(W/m²),0.5994
51,Chlorophyll B weighted irradiance Ecb(W/m²),0.2922
52,Blue purple irradiance Eb(W/m²),1.2226
53,Yellow green irradiance Ey(W/m²),3.0565
54,Red orange irradiance Er(W/m²),2.7295
55,Red blue irradiance ratio Erb_Ratio(%),2.23
56,Photosynthetic photon flux density PPFD(umol/(m^2·s)),33.0348
57,Blue purple photosynthetic photon flux density PPFDb(umol/(m^2·s)),4.6542
58,Yellow green photosynthetic photon flux density PPFDy(umol/(m^2·s)),14.1222
59,Red orange photosynthetic photon flux density PPFDr(umol/(m^2·s)),14.4854
60,Far red photosynthetic photon flux density PPFDfr(umol/(m^2·s)),1.0121
61,Red orange photosynthetic photon flux density ratio PPFDr_ratio(%),43.85
62,Yellow green photosynthetic photon flux density ratio PPFDy_ratio(%),42.75
63,Blue purple photosynthetic photon flux density ratio PPFDb_ratio(%),14.09
64,Yield photon flux density YPFD (umol/(m^2·s)),33.9907
65,Color tolerance SDCM,5.01/3500
Exposure Time,49.6ms
wavelength
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0.00009
413,0.00023
414,0.00041
415,0.0006
416,0.0008
417,0.00101
418,0.00127
419,0.00158
420,0.00194
421,0.00232
422,0.00275
423,0.00327
424,0.00385
425,0.00446
426,0.00512
427,0.00586
428,0.00671
429,0.00765
430,0.00866
431,0.00979
432,0.0111
433,0.01261
434,0.01433
435,0.01627
436,0.01855
437,0.0212
438,0.02417
439,0.02734
440,0.03038
441,0.03324
442,0.0358
443,0.03789
444,0.03928
445,0.03991
446,0.03966
447,0.03865
448,0.03711
449,0.03526
450,0.03326
451,0.03125
452,0.02927
453,0.02735
454,0.02551
455,0.02372
456,0.022
457,0.02035
458,0.0188
459,0.01738
460,0.0161
461,0.01491
462,0.01382
463,0.0128
464,0.01184
465,0.01095
466,0.01015
467,0.00944
468,0.00881
469,0.00829
470,0.00786
471,0.00751
472,0.00723
473,0.00698
474,0.00677
475,0.00659
476,0.00643
477,0.00631
478,0.00622
479,0.00618
480,0.00619
481,0.00626
482,0.00639
483,0.00658
484,0.00682
485,0.00712
486,0.00748
487,0.00789
488,0.00833
489,0.00879
490,0.00928
491,0.00981
492,0.01038
493,0.01099
494,0.0116
495,0.01222
496,0.01286
497,0.01352
498,0.01422
499,0.01494
500,0.01567
501,0.01638
502,0.01708
503,0.01776
504,0.01844
505,0.01914
506,0.01987
507,0.02058
508,0.02124
509,0.02185
510,0.02243
511,0.02302
512,0.02366
513,0.02431
514,0.02494
515,0.02552
516,0.02606
517,0.02658
518,0.02707
519,0.02754
520,0.02796
521,0.02833
522,0.02864
523,0.02891
524,0.02914
525,0.02936
526,0.02958
527,0.02978
528,0.02997
529,0.03017
530,0.03036
531,0.03054
532,0.0307
533,0.03085
534,0.03098
535,0.03111
536,0.03126
537,0.0314
538,0.03153
539,0.03166
540,0.0318
541,0.03195
542,0.03211
543,0.03226
544,0.03238
545,0.0325
546,0.03261
547,0.03271
548,0.03282
549,0.03295
550,0.03309
551,0.03324
552,0.03341
553,0.03357
554,0.03372
555,0.03388
556,0.03402
557,0.03408
558,0.0341
559,0.03408
560,0.03407
561,0.03409
562,0.03413
563,0.03417
564,0.03419
565,0.03419
566,0.03416
567,0.03409
568,0.034
569,0.03392
570,0.03385
571,0.03379
572,0.03369
573,0.03355
574,0.03339
575,0.03323
576,0.03311
577,0.03301
578,0.03292
579,0.03284
