1,CIE1931 colorspace tristimulus values X,104.34
2,CIE1931 colorspace tristimulus values Y,100.00
3,CIE1931 colorspace tristimulus values Z,53.74
4,CIE1931 colorspace chromaticity coordinates x,0.4043
5,CIE1931 colorspace chromaticity coordinates y,0.3875
6,CIE1960 colorspace chromaticity coordinates u,0.2364
7,CIE1960 colorspace chromaticity coordinates v,0.3398
8,CIE1976 colorspace chromaticity coordinates u',0.2364
9,CIE1976 colorspace chromaticity coordinates v',0.5098
10,Color temperature CCT(K),3507
11,Red ratio(%),23.32
12,Green ratio(%),74.49
13,Blue ratio(%),2.19
14,Color shift Duv,-0.0012
15,Color render index Ra,89.6
16,Color render index R1,94.5
17,Color render index R2,90.3
18,Color render index R3,83.3
19,Color render index R4,89.3
20,Color render index R5,91.7
21,Color render index R6,86.3
22,Color render index R7,89.9
23,Color render index R8,91.6
24,Color render index R9,79.0
25,Color render index R10,74.5
26,Color render index R11,90.1
27,Color render index R12,69.4
28,Color render index R13,92.4
29,Color render index R14,89.4
30,Color render index R15,93.8
31,Peak wavelength Lp(nm),632
32,Half-peak width HW(nm),10
33,Dominant wavelength Ld(nm),581
34,Color purity Purity(%),38.2
35,Light-dark vision ratio S/P,4.084
36,Illuminance Lux(lx),3055.5
37,Irradiance Ee(W/m²),9.5315
38,Illuminance E(fc),283.86
39,Color quality scale CQS,87.32
40,Gamut area index GAI_EES,74.49
41,Gamut area index GAI_BB_8,106.32
42,Gamut area index GAI_BB_15,108.16
43,Equivalen melanopic lux EML,354.46
44,Melanopic equivalent daylight illuminance M_EDI,321.24
45,Blue light hazard weighted irradiance Eb(W/m²),1.3335/RG2
46,Red irradiance Red_Ee(W/m²),0.2178
47,Near infrared irradiance A Nir_EeA(W/m²),0.0000
48,Near infrared irradiance B Nir_EeB(W/m²),0.0000
49,Photosynthetically active radiation PAR(W/m²),9.3137
50,Chlorophyll A weighted irradiance Eca(W/m²),0.8063
51,Chlorophyll B weighted irradiance Ecb(W/m²),0.3846
52,Blue purple irradiance Eb(W/m²),1.5981
53,Yellow green irradiance Ey(W/m²),4.0892
54,Red orange irradiance Er(W/m²),3.6915
55,Red blue irradiance ratio Erb_Ratio(%),2.31
56,Photosynthetic photon flux density PPFD(umol/(m^2·s)),44.2528
57,Blue purple photosynthetic photon flux density PPFDb(umol/(m^2·s)),6.0780
58,Yellow green photosynthetic photon flux density PPFDy(umol/(m^2·s)),18.9005
59,Red orange photosynthetic photon flux density PPFDr(umol/(m^2·s)),19.5823
60,Far red photosynthetic photon flux density PPFDfr(umol/(m^2·s)),1.3596
61,Red orange photosynthetic photon flux density ratio PPFDr_ratio(%),44.25
62,Yellow green photosynthetic photon flux density ratio PPFDy_ratio(%),42.71
63,Blue purple photosynthetic photon flux density ratio PPFDb_ratio(%),13.73
64,Yield photon flux density YPFD (umol/(m^2·s)),45.5305
65,Color tolerance SDCM,3.15/3500
Exposure Time,49.6ms
wavelength
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0.00014
411,0.00031
412,0.00046
413,0.00063
414,0.00086
415,0.00112
416,0.0014
417,0.00174
418,0.00213
419,0.00259
420,0.00309
421,0.0036
422,0.00417
423,0.00486
424,0.00565
425,0.00654
426,0.00753
427,0.00866
428,0.00992
429,0.01126
430,0.01264
431,0.01415
432,0.01588
433,0.01788
434,0.02018
435,0.02283
436,0.02597
437,0.02964
438,0.03374
439,0.03804
440,0.04204
441,0.04572
442,0.0489
443,0.0513
444,0.05265
445,0.05286
446,0.05183
447,0.04979
448,0.04713
449,0.0442
450,0.04122
451,0.03836
452,0.03567
453,0.03315
454,0.03076
455,0.02851
456,0.0264
457,0.02445
458,0.02264
459,0.02099
460,0.01946
461,0.01802
462,0.01668
463,0.01543
464,0.01426
465,0.01314
466,0.01211
467,0.01119
468,0.01041
469,0.00978
470,0.00928
471,0.00887
472,0.00854
473,0.00828
474,0.00809
475,0.00794
476,0.00783
477,0.00773
478,0.00767
479,0.00768
480,0.00779
481,0.00798
482,0.00825
483,0.00859
484,0.00899
485,0.00945
486,0.00998
487,0.01056
488,0.0112
489,0.01188
490,0.0126
491,0.01336
492,0.01416
493,0.01498
494,0.01582
495,0.01669
496,0.01758
497,0.01849
498,0.01943
499,0.02039
500,0.02134
501,0.02229
502,0.02321
503,0.02411
504,0.02499
505,0.02589
506,0.0268
507,0.02769
508,0.02854
509,0.02933
510,0.0301
511,0.03085
512,0.03159
513,0.0323
514,0.03296
515,0.03361
516,0.03424
517,0.03487
518,0.03543
519,0.03591
520,0.03632
521,0.0367
522,0.03711
523,0.03752
524,0.03792
525,0.0383
526,0.03864
527,0.03895
528,0.03926
529,0.03958
530,0.0399
531,0.0402
532,0.04047
533,0.04072
534,0.04094
535,0.04117
536,0.04141
537,0.04163
538,0.04184
539,0.04205
540,0.04229
541,0.0425
542,0.0427
543,0.04291
544,0.04313
545,0.04337
546,0.04361
547,0.04382
548,0.044
549,0.04419
550,0.04442
551,0.04465
552,0.04485
553,0.04505
554,0.04525
555,0.04544
556,0.04561
557,0.04572
558,0.04576
559,0.04578
560,0.04583
561,0.04591
562,0.04599
563,0.04604
564,0.04605
565,0.04602
566,0.04599
567,0.04595
568,0.0459
569,0.04581
570,0.0457
571,0.04555
572,0.04539
573,0.04522
574,0.04506
575,0.04493
576,0.04484
577,0.04478
578,0.04471
