1,CIE1931 colorspace tristimulus values X,116.22
2,CIE1931 colorspace tristimulus values Y,100.00
3,CIE1931 colorspace tristimulus values Z,41.67
4,CIE1931 colorspace chromaticity coordinates x,0.4507
5,CIE1931 colorspace chromaticity coordinates y,0.3878
6,CIE1960 colorspace chromaticity coordinates u,0.2670
7,CIE1960 colorspace chromaticity coordinates v,0.3446
8,CIE1976 colorspace chromaticity coordinates u',0.2670
9,CIE1976 colorspace chromaticity coordinates v',0.5169
10,Color temperature CCT(K),2637
11,Red ratio(%),29.78
12,Green ratio(%),67.93
13,Blue ratio(%),2.29
14,Color shift Duv,-0.0079
15,Color render index Ra,95.4
16,Color render index R1,99.1
17,Color render index R2,97.6
18,Color render index R3,96.8
19,Color render index R4,95.1
20,Color render index R5,99.2
21,Color render index R6,93.7
22,Color render index R7,91.7
23,Color render index R8,89.9
24,Color render index R9,81.4
25,Color render index R10,96.9
26,Color render index R11,94.4
27,Color render index R12,85.5
28,Color render index R13,98.4
29,Color render index R14,97.1
30,Color render index R15,98.5
31,Peak wavelength Lp(nm),632
32,Half-peak width HW(nm),34
33,Dominant wavelength Ld(nm),588
34,Color purity Purity(%),52.4
35,Light-dark vision ratio S/P,4.705
36,Illuminance Lux(lx),1771.3
37,Irradiance Ee(W/m²),6.2487
38,Illuminance E(fc),164.56
39,Color quality scale CQS,94.48
40,Gamut area index GAI_EES,63.43
41,Gamut area index GAI_BB_8,136.24
42,Gamut area index GAI_BB_15,138.48
43,Equivalen melanopic lux EML,179.90
44,Melanopic equivalent daylight illuminance M_EDI,163.04
45,Blue light hazard weighted irradiance Eb(W/m²),0.5671/RG0
46,Red irradiance Red_Ee(W/m²),0.3069
47,Near infrared irradiance A Nir_EeA(W/m²),0.0030
48,Near infrared irradiance B Nir_EeB(W/m²),0.0000
49,Photosynthetically active radiation PAR(W/m²),5.9387
50,Chlorophyll A weighted irradiance Eca(W/m²),0.5096
51,Chlorophyll B weighted irradiance Ecb(W/m²),0.2446
52,Blue purple irradiance Eb(W/m²),0.7485
53,Yellow green irradiance Ey(W/m²),2.1848
54,Red orange irradiance Er(W/m²),3.0474
55,Red blue irradiance ratio Erb_Ratio(%),4.07
56,Photosynthetic photon flux density PPFD(umol/(m^2·s)),29.1439
57,Blue purple photosynthetic photon flux density PPFDb(umol/(m^2·s)),2.8952
58,Yellow green photosynthetic photon flux density PPFDy(umol/(m^2·s)),10.1737
59,Red orange photosynthetic photon flux density PPFDr(umol/(m^2·s)),16.2766
60,Far red photosynthetic photon flux density PPFDfr(umol/(m^2·s)),1.9161
61,Red orange photosynthetic photon flux density ratio PPFDr_ratio(%),55.85
62,Yellow green photosynthetic photon flux density ratio PPFDy_ratio(%),34.91
63,Blue purple photosynthetic photon flux density ratio PPFDb_ratio(%),9.93
64,Yield photon flux density YPFD (umol/(m^2·s)),30.8856
65,Color tolerance SDCM,10.66/2700
Exposure Time,49.6ms
wavelength
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0.00007
421,0.00021
422,0.00035
423,0.00046
424,0.00056
425,0.00067
426,0.00083
427,0.00104
428,0.00129
429,0.00154
430,0.00178
431,0.00201
432,0.00227
433,0.00256
434,0.0029
435,0.00327
436,0.00372
437,0.00426
438,0.00489
439,0.00563
440,0.00646
441,0.00735
442,0.00837
443,0.00959
444,0.01103
445,0.01269
446,0.0145
447,0.0164
448,0.0183
449,0.02013
450,0.02177
451,0.02308
452,0.02391
453,0.02417
454,0.0238
455,0.02285
456,0.02147
457,0.01985
458,0.01822
459,0.01673
460,0.01548
461,0.01447
462,0.01371
463,0.01314
464,0.01272
465,0.01235
466,0.01198
467,0.01157
468,0.01112
469,0.01065
470,0.01016
471,0.00964
472,0.0091
473,0.00855
474,0.00804
475,0.00757
476,0.00718
477,0.00688
478,0.00669
479,0.00659
480,0.00657
481,0.00657
482,0.00659
483,0.00662
484,0.00668
485,0.00676
486,0.00686
487,0.00697
488,0.00708
489,0.00719
490,0.0073
491,0.00741
492,0.00752
493,0.00769
494,0.00791
495,0.00819
496,0.0085
497,0.00882
498,0.00917
499,0.00955
500,0.00995
501,0.01034
502,0.01071
503,0.01104
504,0.01135
505,0.01166
506,0.01201
507,0.01238
508,0.01275
509,0.0131
510,0.01344
511,0.01377
512,0.0141
513,0.01443
514,0.01474
515,0.01504
516,0.01531
517,0.01558
518,0.01584
519,0.01609
520,0.01635
521,0.0166
522,0.01684
523,0.01705
524,0.01724
525,0.01742
526,0.0176
527,0.01778
528,0.01798
529,0.01817
530,0.01837
531,0.01855
532,0.01871
533,0.01885
534,0.01898
535,0.01913
536,0.01927
537,0.01941
538,0.01955
539,0.01971
540,0.01987
541,0.02005
542,0.02024
543,0.02042
544,0.02061
545,0.02078
546,0.02095
547,0.02112
548,0.0213
549,0.02151
550,0.02173
551,0.02195
552,0.02217
553,0.0224
554,0.02263
555,0.02286
556,0.02308
557,0.02328
558,0.02346
559,0.02363
560,0.02381
561,0.024
562,0.02417
563,0.02434
564,0.02452
565,0.02469
566,0.02486
567,0.02504
568,0.02522
569,0.0254
570,0.02556
571,0.02569
572,0.0258
573,0.0259
574,0.02603
575,0.02619
576,0.02638
577,0.02656
578,0.0267
579,0.02682
580,0.02695
581,0.02712
582,0.02732
583,0.02754
