1,CIE1931 colorspace tristimulus values X,104.86
2,CIE1931 colorspace tristimulus values Y,100.00
3,CIE1931 colorspace tristimulus values Z,48.85
4,CIE1931 colorspace chromaticity coordinates x,0.4133
5,CIE1931 colorspace chromaticity coordinates y,0.3941
6,CIE1960 colorspace chromaticity coordinates u,0.2395
7,CIE1960 colorspace chromaticity coordinates v,0.3426
8,CIE1976 colorspace chromaticity coordinates u',0.2395
9,CIE1976 colorspace chromaticity coordinates v',0.5139
10,Color temperature CCT(K),3368
11,Red ratio(%),23.76
12,Green ratio(%),74.23
13,Blue ratio(%),2.01
14,Color shift Duv,-0.0005
15,Color render index Ra,89.1
16,Color render index R1,92.9
17,Color render index R2,89.8
18,Color render index R3,84.2
19,Color render index R4,89.7
20,Color render index R5,90.4
21,Color render index R6,85.9
22,Color render index R7,90.4
23,Color render index R8,89.5
24,Color render index R9,71.4
25,Color render index R10,73.5
26,Color render index R11,90.4
27,Color render index R12,68.6
28,Color render index R13,91.1
29,Color render index R14,89.8
30,Color render index R15,91.5
31,Peak wavelength Lp(nm),632
32,Half-peak width HW(nm),10
33,Dominant wavelength Ld(nm),581
34,Color purity Purity(%),43.1
35,Light-dark vision ratio S/P,4.252
36,Illuminance Lux(lx),1858.2
37,Irradiance Ee(W/m²),5.6791
38,Illuminance E(fc),172.63
39,Color quality scale CQS,86.28
40,Gamut area index GAI_EES,69.43
41,Gamut area index GAI_BB_8,103.97
42,Gamut area index GAI_BB_15,105.99
43,Equivalen melanopic lux EML,204.03
44,Melanopic equivalent daylight illuminance M_EDI,184.91
45,Blue light hazard weighted irradiance Eb(W/m²),0.7374/RG0
46,Red irradiance Red_Ee(W/m²),0.1173
47,Near infrared irradiance A Nir_EeA(W/m²),0.0000
48,Near infrared irradiance B Nir_EeB(W/m²),0.0000
49,Photosynthetically active radiation PAR(W/m²),5.5619
50,Chlorophyll A weighted irradiance Eca(W/m²),0.4704
51,Chlorophyll B weighted irradiance Ecb(W/m²),0.2225
52,Blue purple irradiance Eb(W/m²),0.8835
53,Yellow green irradiance Ey(W/m²),2.4773
54,Red orange irradiance Er(W/m²),2.2405
55,Red blue irradiance ratio Erb_Ratio(%),2.54
56,Photosynthetic photon flux density PPFD(umol/(m^2·s)),26.5079
57,Blue purple photosynthetic photon flux density PPFDb(umol/(m^2·s)),3.3618
58,Yellow green photosynthetic photon flux density PPFDy(umol/(m^2·s)),11.4640
59,Red orange photosynthetic photon flux density PPFDr(umol/(m^2·s)),11.8696
60,Far red photosynthetic photon flux density PPFDfr(umol/(m^2·s)),0.7319
61,Red orange photosynthetic photon flux density ratio PPFDr_ratio(%),44.78
62,Yellow green photosynthetic photon flux density ratio PPFDy_ratio(%),43.25
63,Blue purple photosynthetic photon flux density ratio PPFDb_ratio(%),12.68
64,Yield photon flux density YPFD (umol/(m^2·s)),27.2018
65,Color tolerance SDCM,1.14/3500
Exposure Time,49.6ms
wavelength
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0.00007
412,0.0002
413,0.00034
414,0.00049
415,0.00063
416,0.00075
417,0.00089
418,0.00108
419,0.00134
420,0.00164
421,0.00196
422,0.00231
423,0.00271
424,0.00315
425,0.00361
426,0.00414
427,0.00475
428,0.00548
429,0.00627
430,0.0071
431,0.008
432,0.00899
433,0.01009
434,0.0113
435,0.01268
436,0.01435
437,0.01634
438,0.01857
439,0.02089
440,0.02297
441,0.02491
442,0.02659
443,0.0279
444,0.02867
445,0.02884
446,0.02834
447,0.02731
448,0.02597
449,0.02447
450,0.02292
451,0.02139
452,0.01987
453,0.0184
454,0.01698
455,0.01562
456,0.01436
457,0.0132
458,0.01216
459,0.01125
460,0.01045
461,0.00972
462,0.00905
463,0.00841
464,0.00781
465,0.00725
466,0.00673
467,0.00626
468,0.00585
469,0.00552
470,0.00523
471,0.00499
472,0.00478
473,0.00461
474,0.00448
475,0.0044
476,0.00435
477,0.00431
478,0.0043
479,0.00432
480,0.00439
481,0.0045
482,0.00467
483,0.00487
484,0.0051
485,0.00536
486,0.00565
487,0.00597
488,0.00634
489,0.00672
490,0.00713
491,0.00754
492,0.00798
493,0.00846
494,0.00897
495,0.00949
496,0.01
497,0.01052
498,0.01104
499,0.01159
500,0.01218
501,0.01278
502,0.01337
503,0.01393
504,0.01448
505,0.01503
506,0.01561
507,0.01618
508,0.0167
509,0.01717
510,0.0176
511,0.01804
512,0.0185
513,0.01897
514,0.01942
515,0.01984
516,0.02024
517,0.02062
518,0.02097
519,0.02128
520,0.02156
521,0.02181
522,0.02206
523,0.0223
524,0.02254
525,0.02277
526,0.02297
527,0.02317
528,0.02335
529,0.02353
530,0.02373
531,0.02391
532,0.02407
533,0.02421
534,0.02432
535,0.02445
536,0.02459
537,0.02471
538,0.02482
539,0.02494
540,0.02508
541,0.02524
542,0.02541
543,0.02557
544,0.02571
545,0.02587
546,0.02603
547,0.0262
548,0.02633
549,0.02645
550,0.02658
551,0.02674
552,0.02694
553,0.02713
554,0.02729
555,0.02743
556,0.02755
557,0.02766
558,0.02775
559,0.02781
560,0.02786
561,0.02791
562,0.02797
563,0.02805
564,0.02814
565,0.0282
566,0.02822
567,0.02822
568,0.02819
569,0.02817
570,0.02815
571,0.02811
572,0.02806
573,0.02799
574,0.02794
575,0.0279
576,0.02785
577,0.02781
578,0.02774
579,0.02766
