wavelength_nm,intensity
380.0,0.007
381.0,0.0077
381.9,0.007
383.0,0.0077
384.0,0.007
384.9,0.007
386.0,0.007
389.0,0.007
392.9,0.007
394.1,0.007
395.0,0.007
395.9,0.007
397.0,0.007
398.0,0.007
398.9,0.007
400.0,0.007
401.0,0.0077
401.9,0.0077
403.0,0.0083
404.0,0.009
405.1,0.0097
406.0,0.0097
407.0,0.011
408.1,0.0117
409.0,0.0123
409.9,0.0136
411.0,0.0149
412.0,0.0163
412.9,0.0176
414.0,0.0189
415.0,0.0209
415.9,0.0235
417.0,0.0255
418.0,0.0288
418.9,0.0314
420.0,0.0354
421.0,0.04
422.1,0.0439
423.0,0.0486
423.9,0.0545
425.0,0.0611
426.0,0.0677
426.9,0.0756
428.0,0.0841
429.0,0.0933
429.9,0.1045
431.0,0.1151
432.0,0.1276
432.9,0.1434
434.0,0.1579
435.0,0.1777
436.1,0.2001
437.0,0.2258
437.9,0.2528
439.0,0.2837
440.0,0.3199
440.9,0.3516
442.0,0.3858
443.0,0.4168
443.9,0.4445
445.0,0.4662
446.0,0.4774
446.9,0.4807
448.0,0.4768
449.0,0.4616
450.1,0.4445
451.0,0.4247
451.9,0.4069
453.1,0.3858
454.0,0.3733
454.9,0.3647
456.0,0.3628
457.0,0.3681
457.9,0.3786
459.0,0.3931
460.0,0.4142
460.9,0.4398
462.0,0.4689
463.0,0.5057
464.1,0.5446
465.0,0.5894
466.0,0.6375
467.1,0.6856
468.0,0.7416
468.9,0.7943
470.0,0.8404
471.0,0.8878
471.9,0.9287
473.0,0.9643
474.0,0.9866
474.9,0.9985
476.0,0.9999
477.0,0.9952
478.1,0.9814
479.0,0.9649
479.9,0.9379
481.1,0.9161
482.0,0.8878
482.9,0.8654
484.0,0.8397
485.0,0.8187
485.9,0.8015
487.0,0.7824
488.0,0.7673
488.9,0.7495
490.0,0.7389
491.0,0.7251
492.1,0.7113
493.0,0.6961
494.0,0.6816
495.1,0.6691
496.0,0.6533
496.9,0.6408
498.0,0.6315
499.0,0.6217
499.9,0.6105
501.0,0.6059
502.0,0.5993
502.9,0.5947
504.0,0.5881
505.0,0.5881
506.1,0.5848
507.0,0.5828
508.0,0.5835
509.1,0.5822
510.0,0.5828
510.9,0.5835
512.0,0.5841
513.0,0.5802
513.9,0.5841
515.0,0.5841
516.0,0.5848
516.9,0.5854
518.0,0.5868
519.0,0.5881
519.9,0.5881
521.0,0.5907
522.0,0.592
523.1,0.5947
524.0,0.5973
524.9,0.5986
526.1,0.5999
527.0,0.5999
527.9,0.6032
529.0,0.6065
530.0,0.6085
530.9,0.6098
532.0,0.6105
533.0,0.6144
533.9,0.6158
535.0,0.6177
536.0,0.6197
537.1,0.6197
538.0,0.623
539.0,0.6256
540.0,0.6289
541.0,0.6289
541.9,0.6315
543.0,0.6329
544.0,0.6368
544.9,0.6382
546.0,0.6408
547.0,0.6421
547.9,0.6441
549.0,0.6461
550.0,0.6474
551.1,0.648
552.0,0.6513
553.0,0.6527
554.1,0.654
555.0,0.6566
555.9,0.6566
557.0,0.6573
558.0,0.6592
558.9,0.6625
560.0,0.6652
561.0,0.6678
561.9,0.6684
563.0,0.6691
