wavelength_nm,intensity
412.0,0.0071
412.9,0.0078
414.0,0.0085
415.0,0.0098
415.9,0.0105
417.0,0.0118
418.0,0.0137
418.9,0.0157
420.0,0.0177
421.0,0.0203
422.1,0.0236
423.0,0.0263
423.9,0.0309
425.0,0.0348
426.0,0.0394
426.9,0.0447
428.0,0.0513
429.0,0.0572
429.9,0.0638
431.0,0.071
432.0,0.0803
432.9,0.0895
434.0,0.0987
435.0,0.1106
436.1,0.1231
437.0,0.1376
437.9,0.1527
439.0,0.1699
440.0,0.189
440.9,0.2061
442.0,0.2239
443.0,0.2384
443.9,0.2516
445.0,0.2595
446.0,0.2621
446.9,0.2588
448.0,0.2516
449.0,0.2377
450.1,0.2213
451.0,0.2028
451.9,0.1844
453.1,0.1639
454.0,0.1481
454.9,0.1317
456.0,0.1198
457.0,0.1093
457.9,0.1007
459.0,0.0935
460.0,0.0869
460.9,0.0809
462.0,0.0757
463.0,0.0704
464.1,0.0658
465.0,0.0605
466.0,0.0553
467.1,0.0513
468.0,0.0467
468.9,0.0434
470.0,0.0401
471.0,0.0375
471.9,0.0348
473.0,0.0335
474.0,0.0322
474.9,0.0309
476.0,0.0296
477.0,0.0289
478.1,0.0282
479.0,0.0282
479.9,0.0276
481.1,0.0276
482.0,0.0269
482.9,0.0269
484.0,0.0276
485.0,0.0276
485.9,0.0282
487.0,0.0289
488.0,0.0302
488.9,0.0322
490.0,0.0335
491.0,0.0361
492.1,0.0381
493.0,0.0414
494.0,0.044
495.1,0.048
496.0,0.0513
496.9,0.0553
498.0,0.0598
499.0,0.0651
499.9,0.0704
501.0,0.0763
502.0,0.0823
502.9,0.0888
504.0,0.0961
505.0,0.104
506.1,0.1119
507.0,0.1205
508.0,0.129
509.1,0.1383
510.0,0.1488
510.9,0.1593
512.0,0.1692
513.0,0.1791
513.9,0.1903
515.0,0.2015
516.0,0.2127
516.9,0.2232
518.0,0.2351
519.0,0.2456
519.9,0.2562
521.0,0.268
522.0,0.2799
523.1,0.2911
524.0,0.3023
524.9,0.3141
526.1,0.3247
527.0,0.3346
527.9,0.3444
529.0,0.3537
530.0,0.3635
530.9,0.3701
532.0,0.3794
533.0,0.3866
533.9,0.3945
535.0,0.4011
536.0,0.409
537.1,0.4143
538.0,0.4202
539.0,0.4255
540.0,0.4314
541.0,0.436
541.9,0.4387
543.0,0.4426
544.0,0.4452
544.9,0.4499
546.0,0.4538
547.0,0.4551
547.9,0.4597
549.0,0.463
550.0,0.465
551.1,0.4663
552.0,0.469
553.0,0.4716
554.1,0.4749
555.0,0.4769
555.9,0.4782
557.0,0.4802
558.0,0.4821
558.9,0.4854
560.0,0.4887
561.0,0.4913
561.9,0.4947
563.0,0.4979
564.0,0.5006
565.1,0.5032
566.0,0.5078
567.0,0.5111
568.1,0.5164
569.0,0.519
569.9,0.525
571.0,0.5282
572.0,0.5316
572.9,0.5375
574.0,0.5427
575.0,0.5487
575.9,0.5546
577.0,0.5612
578.0,0.5658
579.1,0.5724
580.0,0.5803
581.0,0.5876
582.1,0.5955
583.0,0.6027
583.9,0.6106
585.0,0.6185
586.0,0.6277
586.9,0.6376
588.0,0.6462
589.0,0.6567
589.9,0.6659
591.0,0.6752
592.0,0.6857
593.1,0.6963
594.0,0.7061
595.0,0.718
596.1,0.7279
597.0,0.7377
597.9,0.7489
599.0,0.7602
600.0,0.7694
600.9,0.7825
602.0,0.7924
603.0,0.805
603.9,0.8155
605.0,0.8267
606.0,0.8346
607.1,0.8464
608.0,0.8576
609.0,0.8662
610.1,0.8767
611.0,0.8866
611.9,0.8985
613.1,0.9044
614.0,0.913
614.9,0.9235
616.0,0.9321
617.0,0.9393
617.9,0.9453
619.0,0.9525
620.0,0.9611
620.9,0.965
622.0,0.971
623.0,0.9769
624.1,0.9822
625.0,0.9848
626.0,0.9901
627.1,0.9914
628.0,0.9967
628.9,0.996
630.0,0.9986
631.0,0.9986
631.9,0.9986
633.0,0.9993
634.0,1.0001
634.9,0.998
636.0,0.9973
637.0,0.994
638.1,0.9914
639.0,0.9881
639.9,0.9854
641.1,0.9828
642.0,0.9775
642.9,0.9716
644.0,0.965
645.0,0.9604
645.9,0.9545
647.0,0.9472
648.0,0.9413
648.9,0.9327
650.0,0.9235
651.0,0.9156
652.1,0.9084
653.0,0.8978
654.0,0.8912
655.1,0.8807
656.0,0.8715
656.9,0.8583
658.0,0.8478
659.0,0.8379
659.9,0.8287
661.0,0.8168
662.0,0.8043
662.9,0.7951
664.0,0.7832
665.0,0.7733
666.1,0.7608
667.0,0.7496
668.0,0.7371
669.1,0.7246
670.0,0.7147
670.9,0.7028
672.0,0.691
673.0,0.6791
673.9,0.6666
675.0,0.6554
676.0,0.6429
676.9,0.6304
678.0,0.6192
679.0,0.6073
680.1,0.5961
681.0,0.5836
682.0,0.5717
683.1,0.5605
684.0,0.5487
684.9,0.5381
686.1,0.525
687.0,0.5151
687.9,0.5039
689.0,0.4927
690.0,0.4821
690.9,0.4709
692.0,0.4591
693.0,0.4492
694.1,0.4387
695.0,0.4281
696.0,0.4196
697.1,0.4083
698.0,0.3998
699.0,0.3879
700.0,0.3787
701.0,0.3701
701.9,0.3622
703.0,0.3517
704.0,0.3425
704.9,0.3346
706.0,0.326
707.0,0.3181
708.1,0.3102
709.0,0.3023
710.0,0.2937
711.1,0.2871
712.0,0.2786
713.0,0.272
714.1,0.2654
715.0,0.2575
715.9,0.2509
717.0,0.2436
718.0,0.2377
718.9,0.2311
720.0,0.2245
721.0,0.2186
721.9,0.2114
723.0,0.2061
724.0,0.2015
725.1,0.1956
726.0,0.189
727.0,0.1844
728.1,0.1791
729.0,0.1752
729.9,0.1699
731.0,0.1653
732.0,0.16
732.9,0.1554
734.0,0.1508
735.0,0.1468
735.9,0.1422
737.0,0.1383
738.0,0.1336
739.1,0.1297
740.0,0.1264
741.0,0.1231
742.1,0.1192
743.0,0.1158
743.9,0.1126
745.0,0.1086
746.0,0.1053
746.9,0.102
748.0,0.1001
749.0,0.0967
749.9,0.0941
751.0,0.0915
752.0,0.0882
753.1,0.0855
754.0,0.0829
755.0,0.0809
756.1,0.0789
757.0,0.0763
757.9,0.0744
759.0,0.0717
760.0,0.0704
760.9,0.0671
762.0,0.0651
763.0,0.0638
763.9,0.0618
765.0,0.0598
766.0,0.0579
767.1,0.0566
768.0,0.0546
769.0,0.0533
770.1,0.0519
771.0,0.0506
771.9,0.0487
773.1,0.0473
774.0,0.0454
774.9,0.0447
776.0,0.0434
777.0,0.0421
777.9,0.0401
779.0,0.0394
780.0,0.0381
