wavelength_nm,intensity
360.0,0.00001
361.0,0.00001
362.0,0.00167
364.0,0.00167
365.0,0.00001
367.0,0.00001
368.0,0.00167
369.0,0.00001
370.0,0.00167
371.0,0.00167
372.0,0.00001
373.0,0.00001
374.0,0.00167
380.0,0.00167
381.0,0.00001
382.0,0.00001
383.0,0.00167
408.0,0.00167
409.0,0.00334
413.0,0.00334
414.0,0.00501
416.0,0.00501
417.0,0.00667
418.0,0.00667
420.0,0.01000
421.0,0.01000
424.0,0.01500
425.0,0.01834
426.0,0.02000
429.0,0.03000
431.0,0.04000
432.0,0.04334
433.0,0.05167
434.0,0.05667
435.0,0.06500
436.0,0.07167
438.0,0.09500
439.0,0.10501
440.0,0.11834
441.0,0.13334
442.0,0.15167
443.0,0.17334
444.0,0.19833
446.0,0.26500
448.0,0.36167
451.0,0.54000
452.0,0.59500
454.0,0.67000
455.0,0.68501
456.0,0.68333
457.0,0.65667
458.0,0.62667
462.0,0.47000
463.0,0.44667
464.0,0.43000
465.0,0.42167
466.0,0.41667
467.0,0.41334
468.0,0.41500
470.0,0.40501
471.0,0.39667
473.0,0.37334
475.0,0.34500
476.0,0.33167
477.0,0.32167
478.0,0.31667
479.0,0.31334
480.0,0.31334
481.0,0.31667
482.0,0.32333
483.0,0.32667
484.0,0.34000
485.0,0.34500
486.0,0.35334
487.0,0.36000
488.0,0.36834
489.0,0.37167
491.0,0.38167
492.0,0.39000
493.0,0.39500
494.0,0.40333
495.0,0.41000
496.0,0.41167
497.0,0.42000
499.0,0.43000
500.0,0.43833
501.0,0.44334
503.0,0.45000
504.0,0.45167
505.0,0.45833
506.0,0.45833
508.0,0.46834
509.0,0.46834
510.0,0.47167
511.0,0.47334
512.0,0.47334
513.0,0.47667
515.0,0.48000
516.0,0.48333
517.0,0.48501
518.0,0.48333
519.0,0.48501
520.0,0.48834
522.0,0.49167
523.0,0.48834
524.0,0.49167
525.0,0.49167
526.0,0.49334
527.0,0.49667
528.0,0.49833
529.0,0.49833
530.0,0.50000
531.0,0.50500
532.0,0.50500
533.0,0.50834
534.0,0.51500
535.0,0.51500
536.0,0.51667
537.0,0.52167
538.0,0.52500
539.0,0.52667
541.0,0.53667
542.0,0.53667
543.0,0.54000
544.0,0.54500
545.0,0.54833
547.0,0.55833
548.0,0.55833
549.0,0.56000
550.0,0.56333
552.0,0.56667
553.0,0.57167
554.0,0.57167
555.0,0.57667
556.0,0.57667
557.0,0.57833
558.0,0.58167
559.0,0.58000
560.0,0.58167
561.0,0.58501
562.0,0.58666
563.0,0.59334
564.0,0.59000
565.0,0.59167
566.0,0.59167
568.0,0.59833
569.0,0.59667
571.0,0.60333
